idx,code,name,lat,lon,kind,wikidata,source_url
298,oosb,oosterhout busstation,51.643333,4.856667,place,Q12912978,https://nl.wikipedia.org/wiki/Oosterhout_(Noord-Brabant)
299,ooss,oosterhout sterrenlaan,51.643333,4.856667,place,Q12912978,https://nl.wikipedia.org/wiki/Oosterhout_(Noord-Brabant)
300,oosten,oostende (b),51.228889,2.925833,station,Q2292734,https://nl.wikipedia.org/wiki/Station_Oostende
301,oosz,oosterhout zuiderhout,51.643333,4.856667,place,Q12912978,https://nl.wikipedia.org/wiki/Oosterhout_(Noord-Brabant)
312,pnk,pijnacker,52.020072,4.437092,station,Q14387131,https://nl.wikipedia.org/wiki/Station_Pijnacker
313,pph,perkpolderhaven,51.397778,4.016111,place,Q2206626,https://nl.wikipedia.org/wiki/Perkpolder
315,quenti,st quentin (f),49.839701,3.297163,station,Q2031679,https://fr.wikipedia.org/wiki/Gare_de_Saint-Quentin
320,rdr,berkel en rodenrijs,51.976111,4.460556,station,Q7356536,https://nl.wikipedia.org/wiki/Rodenrijs_(metrostation)
321,rdvb,raamsdonksv.busstation,51.699622,4.871508,station,Q2113245,https://nl.wikipedia.org/wiki/Station_Raamsdonksveer
322,rdve,raamsdonksv.essenboom,51.699622,4.871508,station,Q2113245,https://nl.wikipedia.org/wiki/Station_Raamsdonksveer
323,rdvk,raamsdonksv.keizersveer,51.699622,4.871508,station,Q2113245,https://nl.wikipedia.org/wiki/Station_Raamsdonksveer
326,rheydt,rheydt (d),51.163108,6.439711,station,Q130508,https://de.wikipedia.org/wiki/Rheydt_Hauptbahnhof
337,rtbw,rotterdam bergweg,51.932222,4.470833,station,Q2409435,https://nl.wikipedia.org/wiki/Station_Rotterdam_Bergweg
339,rth,rotterdam hofplein,51.926944,4.479167,station,Q5139929,https://nl.wikipedia.org/wiki/Station_Rotterdam_Hofplein
340,rtkw,rotterdam kleiweg,51.945556,4.466389,station,Q4352177,https://nl.wikipedia.org/wiki/Station_Rotterdam_Kleiweg
