idx,code,name,lat,lon,match,source_code
136,esn,essen (b),51.462610,4.451290,code,ESN
137,esnd,essen (d),51.462610,4.451290,name,ESN
138,est,elst,51.916943,5.855000,code,EST
139,etn,etten-leur,51.575001,4.635833,code,ETN
140,fn,franeker,53.182449,5.548309,code,FN
141,fvs,vise (b),50.737810,5.692320,code,FVS
142,gbg,gramsbergen,52.609165,6.675833,code,GBG
143,gd,gouda,52.017502,4.704444,code,GD
145,gdm,geldermalsen,51.883010,5.271270,code,GDM
147,gentsp,gent st pieters (b),51.036174,3.710847,name,FGSP
148,gk,grijpskerk,53.255740,6.309779,code,GK
149,gln,geleen oost,50.966946,5.843056,code,GLN
151,gn,groningen,53.210556,6.564722,code,GN
152,gnd,hardinxveld-giessendam,51.830555,4.835834,code,GND
153,gnn,groningen noord,53.230147,6.556317,code,GNN
154,go,goor,52.230278,6.584445,code,GO
157,gp,geldrop,51.419724,5.550556,code,GP
158,gr,gorinchem,51.833889,4.968333,code,GR
161,gs,goes,51.498055,3.890556,code,GS
162,gv,den haag hs,52.069721,4.322500,code,GV
163,gvc,den haag cs,52.080276,4.325000,code,GVC
164,gvm,den haag mariahoeve,52.090557,4.369444,code,GVM
165,gw,grouw-irnsum,53.088890,5.822500,code,GW
166,gz,gilze-rijen,51.583611,4.926111,code,GZ
167,had,heemstede-aerdenhout,52.359165,4.606667,code,HAD
168,hagen,hagen (d),51.362747,7.460249,code,HAGEN
170,hann,hannover (d),52.377040,9.741676,code,HANN
171,hb,hoensbroek,50.905556,5.930555,code,HB
172,hd,harderwijk,52.337502,5.619722,code,HD
173,hdb,hardenberg,52.572777,6.628611,code,HDB
174,hde,harde ('t),52.409168,5.893611,code,HDE
175,hdg,hardegarijp,53.218778,5.934543,code,HDG
176,hdr,den helder,52.955276,4.761111,code,HDR
178,hdrz,den helder zuid,52.932499,4.764167,code,HDRZ
179,hfd,hoofddorp,52.293335,4.700555,code,HFD
180,hgl,hengelo,52.261665,6.793889,code,HGL
181,hglo,hengelo oost,52.268890,6.819445,code,HGLO
182,hgv,hoogeveen,52.733891,6.473611,code,HGV
183,hgz,hoogezand-sappemeer,53.159818,6.770754,code,HGZ
185,hk,heemskerk,52.495277,4.686944,code,HK
186,hks,hoogkarspel,52.690556,5.183889,code,HKS
189,hlg,harlingen,53.170420,5.425193,code,HLG
190,hlgh,harlingen haven,53.174917,5.411289,code,HLGH
191,hlm,haarlem,52.387779,4.638333,code,HLM
192,hlo,heiloo,52.599445,4.700555,code,HLO
193,hm,helmond,51.475555,5.661944,code,HM
194,hmbh,helmond brouwhuis,51.470680,5.701770,code,HMBH
195,hmn,hemmen-dodewaard,51.922213,5.673725,code,HMN
196,hn,hoorn,52.644722,5.055555,code,HN
197,hnk,hoorn kersenboogerd,52.653610,5.085556,code,HNK
198,hno,heino,52.427223,6.221111,code,HNO
199,hnp,hindeloopen,52.946490,5.423063,code,HNP
201,hon,holten,52.283890,6.420278,code,HON
202,hor,hollandsche rading,52.177776,5.179167,code,HOR
203,hr,heerenveen,52.961388,5.914166,code,HR
204,hrl,heerlen,50.890835,5.975000,code,HRL
205,hrn,haren,53.176109,6.617222,code,HRN
206,hrt,horst-sevenum,51.426388,6.042222,code,HRT
207,ht,hertogenbosch ('s),51.690480,5.293620,code,HT
208,htn,houten,52.034020,5.168210,code,HTN
209,hto,hertogenbosch oost ('s),51.700554,5.318333,code,HTO
211,hvs,hilversum,52.225834,5.181944,code,HVS
213,hvsp,hilversum sportpark,52.216110,5.187222,code,HVSP
214,hwd,heerhugowaard,52.669724,4.822778,code,HWD
215,hze,heeze,51.384998,5.569445,code,HZE
217,kbd,krabbendijke,51.433334,4.116944,code,KBD
218,kbk,klarenbeek,52.178055,6.083611,code,KBK
220,klp,veenendaal-de klomp,52.045834,5.573889,code,KLP
221,kma,krommenie-assendelft,52.495110,4.754170,code,KMA
222,kmr,klimmen-ransdaal,50.866390,5.890555,code,KMR
223,kmw,koudum-molkwerum,52.902820,5.410691,code,KMW
224,kn,kaldenkirchen (d),51.327184,6.203225,code,KN
226,koln,koeln hbf (d),50.943216,6.958921,code,KOLN
228,kpn,kampen,52.559723,5.921667,code,KPN
230,krd,kerkrade centrum,50.861668,6.057500,code,KRD
231,krg,kruiningen-yerseke,51.465000,4.037222,code,KRG
233,ktr,kesteren,51.931387,5.583347,code,KTR
234,kw,kropswolde,53.161736,6.722088,code,KW
236,laa,den haag laan van noi,52.078609,4.342778,code,LAA
237,lc,lochem,52.166668,6.426389,code,LC
238,ldl,leiden lammenschans,52.146946,4.492500,code,LDL
239,ldm,leerdam,51.894722,5.091389,code,LDM
241,ledn,leiden,52.166111,4.481667,code,LEDN
242,leer,leer (d),53.231650,7.465283,code,LEER
243,leuven,leuven (b),50.881360,4.715680,code,LEUVEN
245,lg,landgraaf,50.896389,6.019166,code,LG
